Subject,Predicate,Object
https://api-features.idee.es//railwaystationnode/items/FCEST_N150300000133,http://www.ogc.org/nombre,Estación de A Coruña                                                                                
https://api-features.idee.es//railwaystationnode/items/FCEST_N150300000133,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/railwaystationnode
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.3,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.4,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.6,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.7,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.8,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.9,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.10,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.11,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.12,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.13,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.14,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.15,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.16,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.17,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.18,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.19,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.20,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.21,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.22,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.23,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.24,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.25,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.26,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.27,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.28,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
https://wmts.mapama.gob.es/sig-api/ogc/features/v1/collections/agua:estado_masas_aguasub/items/estado_masas_aguasub.29,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ogc.org/agua:estado_masas_aguasub
